
# AElements Data - main | variant | codes

木 , 木 , 1234
木 , ⽊ , 1234

足 , ⿱口止 , 251(215|2121|2134)
足 , 足 , 251(215|2121|2134)
足 , ⻊ , 2512(121|134)
足 , ⾜ , 251(215|2121|2134)

竹 , ⿰⿱𠂊亅⿱𠂊亅 , 314314
竹 , 竹 , 314314
竹 , ⺮ , 314314

虫 , 虫 , 251214
虫 , ⾍ , 251214

手 , 手 , 3112
手 , ⼿ , 3112
手 , 扌 , 121
手 , ⺘ , 121

目 , 目 , 25111

言 , 言 , (1|4)111251
言 , 訁 , (1|4)111251
言 , ⾔ , (1|4)111251

糸 , ⿱⿰②丶③ , (554234|554444)
糸 , 糸 , (554234|554444)
糸 , 糹 , (554234|554444)
糸 , ⺯ , (554234|554444)
糸 , ⽷ , (554234|554444)

金 , ⿱人⿻⿱一⿱十一丷 , 34112431
金 , 金 , 34112431
金 , ⾦ , 34112431

門 , ⿰𠁣𠃛 , 25112511
門 , 門 , 25112511
門 , ⾨ , 25112511

馬 , ⿹⑥灬 , (12|21)11254444
馬 , 馬 , (12|21)11254444
馬 , ⾺ , (12|21)11254444

食 , ⿱人⿱丶⑤ , 34(1|4)(51154|511211)
食 , 食 , 34(1|4)(51154|511211)
食 , 飠 , 34(1|4)(51154|511211)
食 , ⾷ , 34(1|4)(51154|511211)
食 , ⻝ , 34(1|4)(51154|511211)
食 , ⻞ , 34(1|4)(51154|511211)
食 , ⻟ , 34(1|4)(51154|511211)

車 , 車 , 1251112
車 , ⾞ , 1251112


